text,label,notes
"Q4_K_M barely moves perplexity on Llama-3-8B — I measured 6.14 vs 6.09 at fp16 on wikitext. The K-quants keep the salient weights in higher precision, which is why the gap is so small.",ANALYSIS,
"Switched llama.cpp -> vLLM on my 3090 and Qwen2.5-7B went from 34 to 61 tok/s at batch 1. Paged attention cuts the KV-cache fragmentation, that's most of the win.",ANALYSIS,
"The MMLU number people keep quoting for this model is the 5-shot CoT score. The 0-shot in the paper's appendix is 8 points lower, so head-to-head with GPT-4 isn't apples to apples.",ANALYSIS,
On a single 24GB card you can't fit 70B at Q4 with any real context — KV cache for 8k ctx alone is ~2.5GB and weights are already ~20GB. You need offload or a second card.,ANALYSIS,
"exl2 at 4.65bpw fits 34B in 24GB with 16k context for me, and quality is basically indistinguishable from 5bpw on my eval set (78% vs 79% on my 50-question rubric).",ANALYSIS,
Speculative decoding with a 1B draft model got me ~1.8x on Llama-3-70B because the draft accepts ~70% of tokens on my workload (mostly code). On creative writing acceptance drops and the speedup nearly vanishes.,ANALYSIS,firsthand + numbers + caveat
"Flash attention 2 isn't supported on P40s — they're Pascal, no bf16 and no FA2 kernels. That's why your 3090 crushes the P40 even at the same VRAM.",ANALYSIS,
Rope scaling to 32k degrades needle-in-haystack recall past ~16k in my tests; retrieval accuracy fell from 95% to ~60% at the far end. The model wasn't trained that long so it's extrapolating.,ANALYSIS,
I ran the same 200 prompts through Gemma-2-9B and Qwen2.5-7B. Qwen won on the coding subset (41/50 vs 33/50) but Gemma was better on the summarization ones (44/50 vs 38/50).,ANALYSIS,
"AWQ vs GPTQ on my setup: AWQ was ~10% faster decode on the 4090 and matched GPTQ on accuracy, because AWQ keeps activation-aware salient channels in fp16 so the kernel stays simpler.",ANALYSIS,
"The reason your tok/s tanks at long context is the KV cache, not the weights. It grows linearly with sequence length, so by 16k you're memory-bandwidth bound. Quantizing the KV cache to Q8 got me back ~20%.",ANALYSIS,
"DeepSeek-V2's MoE only activates 21B of 236B params per token, which is why it runs faster than a dense 70B despite the huge total size — fewer FLOPs per forward pass.",ANALYSIS,
"Tested temperature 0 vs 0.7 on a JSON extraction task: temp 0 gave 49/50 valid JSON, temp 0.7 dropped to 41/50. For structured output low temp is just better, sampling adds nothing.",ANALYSIS,
"Mistral-7B-v0.3 has a 32k context but it's sliding-window attention with a 4k window, so true long-range recall is weaker than the context number suggests. I saw recall drop sharply past 4k.",ANALYSIS,
"My RAG latency was dominated by the embedding step, not the LLM. Switching from a 7B embedder to bge-small (33M) cut retrieval from 800ms to 60ms with no measurable hit to recall@5.",ANALYSIS,
"Llama-3 uses a 128k vocab vs Llama-2's 32k, so it encodes the same text in fewer tokens — I see ~15% fewer tokens on English, which is effectively a free context and speed boost.",ANALYSIS,
"Batching is why vLLM beats llama.cpp on a server: at batch 32 the 4090 stays compute-bound and hits ~2000 tok/s aggregate, while llama.cpp single-stream leaves the GPU idle between tokens.",ANALYSIS,
"I fine-tuned with LoRA rank 16 vs rank 64 on the same 2k examples. Rank 64 overfit (val loss climbed after epoch 2) while rank 16 kept improving. For a small set, lower rank generalized better.",ANALYSIS,
"Q2_K is genuinely bad — perplexity on Llama-3-8B jumped from 6.1 (Q4) to 9.8 (Q2). Below Q3 you're trading away real capability, the model starts dropping instructions.",ANALYSIS,
The 'it's slow on Ollama' complaints are usually because Ollama defaults to a 2048 context and reloads the model on each call. Set num_ctx and keep_alive and most of that disappears — went from 4s to 0.3s overhead for me.,ANALYSIS,
"Phi-3-mini punches above its size on benchmarks because it's trained on heavily filtered 'textbook' data, but I find it brittle on anything off-distribution — it failed 7/10 of my real support tickets while Llama-3-8B handled them.",ANALYSIS,
"Offloading 20 of 33 layers to GPU on a 12GB card got me 11 tok/s on a 13B; full CPU was 2.3. The bottleneck is the CPU<->GPU transfer per token for the offloaded layers, so partial offload has diminishing returns.",ANALYSIS,
"Grouped-query attention is why Llama-3-70B's KV cache is so much smaller than you'd expect — 8 KV heads instead of 64, so the cache is 8x smaller than full multi-head at the same context.",ANALYSIS,
I benchmarked llama.cpp's Q4_0 vs Q4_K_M: K_M was ~5% slower decode but clearly better quality on my reasoning prompts (got 3 more of 20 right). The extra block-wise scales are worth the small speed cost.,ANALYSIS,
"CodeQwen-7B beat DeepSeek-Coder-6.7B on my internal HumanEval-style set (38/40 vs 34/40), but DeepSeek was better at filling in the middle. They were trained with different FIM objectives, which shows.",ANALYSIS,
Setting --n-gpu-layers too high silently spills to shared memory on Windows and tanks speed instead of erroring. I dropped from 33 to 28 layers and tok/s tripled because it stopped paging.,ANALYSIS,
"The reason Q4 quantized models sometimes loop is that quantization flattens the logit distribution slightly, so with greedy decoding ties resolve to repeats. A small repetition penalty (1.1) fixed it for me.",ANALYSIS,
Yi-34B's long-context claim held up better than most in my testing — it actually recalled facts at 32k (90%+) where a lot of 'long context' models collapse. They continued pretraining at length rather than just rope-scaling.,ANALYSIS,
"LoRA merges back into the base with zero inference overhead because it's just W + BA folded into W. That's the whole point — you only pay the cost during training, not at serve time.",ANALYSIS,
"On an M2 Max the unified memory lets you run 70B Q4 at ~8 tok/s, which a 16GB discrete GPU just can't touch for that model size. Bandwidth is ~400GB/s, that's what's carrying it.",ANALYSIS,
I A/B'd two system prompts on 100 chats: the concise one had 12% fewer refusals and identical task success. Long 'you are a helpful assistant...' preambles mostly waste context and nudge it toward hedging.,ANALYSIS,
"Quantizing the KV cache to Q4 saved me ~40% VRAM at 32k context but dropped long-range recall noticeably (needle test fell ~15 points). Q8 KV was the sweet spot — half the savings, no measurable quality loss.",ANALYSIS,
Gemma-2 uses logit soft-capping during training; if you run it without the cap in an old llama.cpp build the outputs degrade. Updating to a build that implements capping fixed the gibberish I was seeing.,ANALYSIS,
"The 70B feels 'smarter' than the 8B on ambiguous instructions specifically because of in-context reasoning depth — on my 30 trick prompts the 70B got 24 vs the 8B's 14. Size buys robustness, not just facts.",ANALYSIS,
"Continuous batching is the single biggest server-throughput lever. Same 4090, same model: static batching gave ~900 tok/s aggregate, continuous batching ~1700, because finished sequences free slots immediately.",ANALYSIS,
"Mixtral 8x7B is ~13B active params, so it decodes at roughly 13B speed (~45 tok/s on my 3090 with offload) while answering like something bigger. The tradeoff is you still need VRAM for all 47B of weights.",ANALYSIS,
I tried int8 vs Q4 for a classification fine-tune: int8 was barely better on accuracy (91 vs 90) but 2x the VRAM. For deployment on one card Q4 was clearly the right call.,ANALYSIS,
"nous-hermes finetunes follow multi-turn instructions better than the base in my testing because they're trained on long assistant transcripts; base Llama drifts off the format by turn 4, the finetune holds to turn 10+.",ANALYSIS,
"The '128k context' on most local models is theoretical — past ~32k my throughput drops below 5 tok/s and recall degrades, so effective usable context on a 24GB card is way under the spec number.",ANALYSIS,
"DRY sampling killed the repetition problem better than rep-penalty for me because it penalizes repeated sequences not just tokens, so it stops the model looping whole phrases while leaving normal word reuse alone.",ANALYSIS,
"Running two 3090s with tensor parallelism on vLLM nearly doubled throughput on 70B (NVLink helps), but with llama.cpp's layer split I only got ~1.3x because the layers run sequentially across cards, not in parallel.",ANALYSIS,
Whisper large-v3 is overkill for clean English — distil-large-v2 ran 4x faster on my 3060 with <1% WER difference on my test audio. The distilled model drops decoder layers that barely matter for clear speech.,ANALYSIS,
"The instruct tuning is why base models 'can't chat' — base Llama-3 completes text, it was never trained to answer. Feed it a few-shot Q/A format and it works fine, which proves it's a format issue not a capability one.",ANALYSIS,
"EXL2's measurement step lets you mix bitrates per layer, so 4.0bpw EXL2 often beats a flat 4-bit GPTQ on quality — it spends more bits on the layers that need them. I saw a clear win on my perplexity check.",ANALYSIS,
"I measured prompt-processing vs generation separately: on a 4090 prompt eval is ~3000 tok/s but generation is ~80 tok/s, because prefill is parallel over the prompt while decode is one token at a time.",ANALYSIS,
Llama-3-8B-Instruct refuses way less if you don't include the default safety preamble — I ran 50 borderline-but-benign prompts and refusals dropped from 18 to 4 just by trimming the system prompt.,ANALYSIS,
The reason your finetune 'forgot' general knowledge is catastrophic forgetting — full fine-tuning on a narrow set overwrites the base. LoRA avoided it for me because the base weights stay frozen.,ANALYSIS,
"Qwen2.5-Coder-32B actually matched GPT-4o on my repo-level tasks (passed 17/20 vs 18/20), specifically on the ones needing the whole-file context. Smaller coders failed those because they lost track past a few hundred lines.",ANALYSIS,
"Speculative decoding gives zero benefit if your draft and target tokenizers differ — the tokens don't align so nothing gets accepted. They have to be from the same family, which is why people pair 1B+70B Llama.",ANALYSIS,
"Setting n_batch higher in llama.cpp sped up my prompt processing a lot (512 -> 2048 took prefill from 9s to 3s on a 4k prompt) but didn't touch generation speed, since that's still token-by-token.",ANALYSIS,
"I compared Q5_K_M and Q6_K on a 13B and honestly couldn't measure a quality difference (both 16/20 on my reasoning set), so Q5 is the better pick — same quality, less VRAM, slightly faster.",ANALYSIS,
"The Tesla P40 is cheap-per-GB but its fp16 is gimped (1:64 ratio), so it's only good for fp32/int8 paths. That's why people report it being slow despite the 24GB — the math units aren't there for modern kernels.",ANALYSIS,
"Llama-3.1's 128k context actually worked in my long-doc QA (recalled details at 100k+, ~85%) where 3.0 fell apart past 8k. They did the long-context continued pretraining properly this time.",ANALYSIS,
"Reducing max_tokens doesn't speed up per-token generation, it just stops sooner — people confuse the two. Your tok/s is fixed by the model+hardware; capping length only caps total wall time.",ANALYSIS,
"FP8 on Ada cards (4090) is real hardware acceleration, not emulated, so FP8 inference there is genuinely fast. On a 3090 (Ampere) FP8 falls back to emulation and you lose the benefit — checked with nvidia-smi util.",ANALYSIS,
My agent loop was slow because it re-sent the whole history each step; switching to prompt caching cut prefill cost ~80% since the static system+tools prefix gets reused instead of recomputed every turn.,ANALYSIS,
"Gemma-2-27B beat Llama-3-8B on my multilingual eval by a wide margin (German/Spanish accuracy ~20 points higher) — it's the larger multilingual pretraining mix, the 8B is much more English-centric.",ANALYSIS,
I quantized my own finetune with imatrix calibration on in-domain text and the Q4 came out noticeably better than a generic Q4 (2 more right of 20) because the importance matrix matched my actual use case.,ANALYSIS,
Running the model with --no-mmap actually helped on my machine with fast RAM because mmap was causing page faults under memory pressure; load was slower but generation was steadier. YMMV with slow disks.,ANALYSIS,
Llama-3-70B at IQ2_XXS fits in 24GB and is shockingly usable — got 14/20 on my reasoning set vs the 8B Q8's 11/20. The i-quants with imatrix preserve more than the old Q2_K at the same size.,ANALYSIS,
"The 'tiny model beats GPT-4' headlines are almost always one cherry-picked benchmark. On a broad 6-task suite the 7B trailed by 15+ points on every task except the one it was tuned for. Read the full table, not the tweet.",ANALYSIS,
"Tokenizer matters for non-English: Llama-3 uses ~2x fewer tokens than Llama-2 on Japanese in my test, so the same context window holds twice the text and costs half as much to process.",ANALYSIS,
vLLM's prefix caching gave me a big win on a chatbot with a fixed long system prompt — TTFT dropped from 1.2s to 0.2s on repeat calls because the shared prefix's KV is cached instead of recomputed.,ANALYSIS,
"I tested 'thinking' prompts on Qwen: adding 'reason step by step' lifted my logic-puzzle accuracy from 12/25 to 19/25, but had no effect on factual recall questions. CoT helps reasoning, not memory.",ANALYSIS,
"ExLlamaV2 is faster than llama.cpp on pure-GPU 4090 runs in my tests (78 vs 64 tok/s on a 13B) but llama.cpp wins the moment you need CPU offload, which ExLlama doesn't really do.",ANALYSIS,
My OOM at 'only' 20GB used was fragmentation — PYTORCH_CUDA_ALLOC_CONF=expandable_segments let the same workload fit. The allocator was holding fragmented blocks it couldn't reuse for the big KV tensor.,ANALYSIS,
"Distilling my 70B's outputs into a 7B LoRA actually transferred most of the task quality (7B finetune hit 88% of the 70B's score on my eval) — the small model just needed the right supervision, not more params.",ANALYSIS,
"Since Q4 preserves the outlier channels in higher precision, why does my 70B still OOM at 24GB? Because the weights are ~20GB and the 16k KV cache adds ~5GB — quantizing weights doesn't shrink the cache.",ANALYSIS,Q from M1 'questions' edge case: embeds a real supported claim -> ANALYSIS
"BitsAndBytes 4-bit (nf4) was slower for me than a GGUF Q4 at the same quality — nf4 dequantizes on the fly in fp16 every forward pass, while GGUF kernels operate on the quantized blocks directly.",ANALYSIS,
"I ran the lmsys-style pairwise eval locally and Llama-3-70B won 58% vs Mixtral on my 80 prompts, mostly on instruction-following — Mixtral was competitive on knowledge but drifted from the asked format more often.",ANALYSIS,
"Llama-3.1-8B at fp16 is ~16GB of weights (8B params x 2 bytes), so on a 12GB card you literally can't load it unquantized — that's just the arithmetic, not an opinion.",ANALYSIS,
Tested RAG chunk sizes: 256 tokens gave cleaner retrieval but split facts across chunks and hurt answer completeness; 384 was my sweet spot on a 60-question eval (best F1).,ANALYSIS,
Bumping vLLM --max-num-seqs from 16 to 64 doubled aggregate throughput on my 4090 (≈900 -> 1800 tok/s) because the GPU stayed saturated instead of idling between requests.,ANALYSIS,
Gemma-2-2B runs ~90 tok/s CPU-only on my i7 — I timed it — which makes it the only model here actually usable without a GPU.,ANALYSIS,
"GGUF embeds the tokenizer and metadata in the file, which is why a single .gguf 'just works' in llama.cpp while safetensors needs a separate config.json and tokenizer.json.",ANALYSIS,
"On 100 math word problems, 'think step by step' lifted Qwen2.5-7B from 52% to 71% but did nothing for Llama-3-8B (~55% both ways). CoT gains are model-dependent, I measured both.",ANALYSIS,
"The 7B felt dumber after my finetune because I trained 8 epochs on 500 examples — classic overfit, train loss hit ~0 while val loss climbed after epoch 3. Dropped to 2 epochs and it recovered.",ANALYSIS,
Embedding 50k docs with bge-large took 40 min on my 3060; switching to bge-small cut it to 9 min with recall@10 dropping only 1 point on my test queries. Smaller embedder was the right trade.,ANALYSIS,
"llama.cpp's --flash-attn gave me ~15% faster prefill on a 4090 and lower VRAM at long context, because FA avoids materializing the full attention matrix.",ANALYSIS,
"DeepSeek-Coder-V2-Lite is a 16B MoE with ~2.4B active, so it decodes about as fast as a 2-3B dense model on my setup (~70 tok/s) while coding like something larger.",ANALYSIS,
"I measured TTFT vs total latency: on a 2k-token prompt, prefill was 0.4s and generation of 300 tokens was 4s. So for short outputs prompt length dominates, for long outputs generation does.",ANALYSIS,
"Qwen2.5-72B-Instruct beat Llama-3.1-70B on my 50-item function-calling eval (46 vs 39 valid calls) — it follows the JSON schema more reliably, fewer hallucinated arg names.",ANALYSIS,
Setting rope_freq_base manually let me push Mistral past its trained context with less degradation than naive linear scaling — needle recall held to ~24k vs collapsing at 16k before.,ANALYSIS,
"A 70B at Q4_K_M is ~40GB, so it does NOT fit one 24GB card — you need two, or heavy CPU offload that drops you to single-digit tok/s. People claiming '70B on a 3090' are running tiny i-quants.",ANALYSIS,
"Whisper's word-error-rate jumped on my noisy field recordings (12% -> 31%) until I added a denoise pass; the model is trained mostly on clean audio, so SNR matters more than model size here.",ANALYSIS,
"I A/B tested greedy vs min-p 0.05 sampling on story generation: min-p had far fewer degenerate repetitions while keeping coherence, because it prunes the long low-probability tail dynamically.",ANALYSIS,
"Mixtral's router sends each token to 2 of 8 experts, so per-token FLOPs ≈ a 13B dense model even though VRAM has to hold all 47B. That's the whole speed/memory tradeoff in one sentence.",ANALYSIS,
"Converting my LoRA to GGUF and merging it let me run the finetune in llama.cpp with no adapter-loading overhead; inference matched the base model's speed exactly (tested, 0% slowdown).",ANALYSIS,
"On an RTX 3060 12GB, 13B Q4_K_M with 24 layers offloaded gave me 18 tok/s; full GPU offload OOM'd. The partial-offload bottleneck is the per-token CPU<->GPU copy for the CPU layers.",ANALYSIS,
Phi-3.5-mini scored higher than Llama-3-8B on GSM8K in my run (78% vs 71%) but lower on my open-ended support tickets — synthetic-heavy training helps clean benchmarks more than messy real tasks.,ANALYSIS,
"Prompt caching cut my agent's cost ~70% because the 3k-token tool+system prefix is identical every turn, so only the new user message gets billed at full prefill rate.",ANALYSIS,
"I checked the actual paper: the '90% HumanEval' figure is pass@10 with sampling, not pass@1. Single-shot pass@1 in the same table is 61%, which is a very different claim.",ANALYSIS,
"Stop sequences matter for throughput in agents — without a tight stop token my model kept generating past the answer, wasting ~80 tokens per call. Adding the right stop saved real latency.",ANALYSIS,
"KV-cache quantization to Q8 let me fit 32k context in 24GB where fp16 cache OOM'd at ~20k; needle recall was unchanged in my test, so Q8 cache is basically free here.",ANALYSIS,
Llama-3-8B and Mistral-7B have nearly identical params but Llama's bigger vocab (128k vs 32k) means it processes my English corpus in ~12% fewer tokens — measured on the same 10k docs.,ANALYSIS,
Continuous batching is why my server's p99 latency dropped under load: finished sequences free their slot immediately instead of the whole batch waiting for the longest one. Saw p99 fall ~40%.,ANALYSIS,
"I ran the same prompt at temp 0 five times and got identical output (as expected with greedy), but at temp 0.7 got 5 different answers — so 'flaky' results in a pipeline are almost always nonzero temp.",ANALYSIS,
"Command-R was clearly better at my grounded-RAG eval (cited the right chunk 44/50) than Llama-3-8B (31/50) — it's specifically trained with citation/grounding objectives, which shows.",ANALYSIS,
My finetune's accuracy on the held-out set was 91% but only 73% on real production traffic — distribution shift. The training data was cleaner and shorter than what users actually send.,ANALYSIS,
Loading a model with device_map='auto' on transformers split it across my 2 GPUs but ran them sequentially (one idle at a time); only vLLM's tensor parallelism actually used both at once. Watched nvidia-smi.,ANALYSIS,
Speculative decoding with a Q4 draft and Q8 target still gave ~1.6x on my code workload because acceptance was high (~75%); the draft's lower precision barely changed which tokens it proposes.,ANALYSIS,
"IQ3_XXS on a 70B gave me 13/20 on my reasoning rubric in 22GB, beating an 8B Q8 (11/20) in the same VRAM — i-quants with imatrix preserve more than naive Q3 at that bitrate.",ANALYSIS,
"The model looped on long outputs until I added presence_penalty 0.3; greedy decoding plus quantization flattens close logits, so ties resolve to repeats without a penalty.",ANALYSIS,
"nf4 (bitsandbytes) dequantizes to bf16 every forward pass, so it's slower than a GGUF Q4 whose kernels compute on the quantized blocks directly — I saw ~25% lower tok/s with nf4 at equal quality.",ANALYSIS,
"Yi-1.5-9B held facts at 32k context in my needle test (88% recall at the far end) where rope-scaled Mistral collapsed to ~50% — Yi was actually pretrained long, not extrapolated.",ANALYSIS,
"Batch size 8 vs 16 in my LoRA run changed nothing on final accuracy but halved memory headroom; the real lever was learning rate — 1e-4 diverged, 2e-5 was stable. Logged both runs.",ANALYSIS,
vLLM prefix caching took my chatbot's TTFT from 1.1s to 0.18s on repeat turns because the long shared system prompt's KV gets reused instead of recomputed each call.,ANALYSIS,
"The P40 is 24GB but its fp16 throughput is 1/64 of fp32, so modern fp16 kernels crawl on it — that's why people report it being slow despite the VRAM. It's an int8/fp32 card.",ANALYSIS,
I distilled my 70B's labels into a DistilBERT classifier and it hit 94% of the 70B's accuracy at 1/100th the inference cost — for a fixed-label task the big model is overkill at serve time.,ANALYSIS,
"Gemma-2 needs logit soft-capping at inference; an old llama.cpp build without it gave me gibberish, updating fixed it. The capping is part of the architecture, not optional.",ANALYSIS,
"On my 4090, FP8 inference (native on Ada) ran ~1.4x faster than fp16 with no measurable quality loss on my eval; on a 3090 FP8 was slower because Ampere emulates it. Same code, different silicon.",ANALYSIS,
Reducing max_new_tokens doesn't raise tok/s — it just stops earlier. My per-token rate stayed 42 tok/s whether the cap was 128 or 512; total time scaled with tokens actually generated.,ANALYSIS,
"Qwen2.5-Coder-7B fixed 16/20 of my real bug-repro tasks vs DeepSeek-Coder-6.7B's 12/20, but DeepSeek won on fill-in-the-middle — different FIM training objectives, visible in the failures.",ANALYSIS,
My RAG answers got worse when I raised top-k from 4 to 12: more chunks meant more distractors and the model averaged over them. Recall@k went up but answer accuracy went down. Measured both.,ANALYSIS,
"LoRA rank 8 vs 64 on my 1k-example set: rank 8 generalized better (val acc 89 vs 84), rank 64 memorized. For small data, lower rank is a regularizer, not a limitation.",ANALYSIS,
"Tokenizing Chinese, Llama-3 used ~40% fewer tokens than Llama-2 on the same passage, so the effective context and cost improved a lot for CJK even with the same window number.",ANALYSIS,
Running --n-gpu-layers 99 on an 8GB card silently spilled to shared system memory on Windows and tanked speed to 1 tok/s; capping at the layers that actually fit (28) gave 14 tok/s.,ANALYSIS,
